iter	Passed	Remaining
0	137	137605
1	138	69324
2	140	46587
3	141	35318
4	143	28516
5	144	23980
6	146	20821
7	148	18421
8	150	16585
9	152	15055
10	153	13822
11	155	12778
12	156	11867
13	157	11127
14	158	10432
15	161	9903
16	162	9423
17	165	9009
18	167	8623
19	169	8282
20	171	7983
21	172	7662
22	174	7408
23	175	7129
24	177	6923
25	179	6725
26	181	6539
27	183	6379
28	185	6224
29	188	6081
30	189	5937
31	191	5807
32	193	5670
33	195	5560
34	197	5451
35	199	5340
36	200	5229
37	202	5136
38	204	5039
39	205	4942
40	207	4852
41	208	4753
42	209	4665
43	211	4584
44	212	4506
45	213	4431
46	214	4356
47	216	4285
48	216	4208
49	217	4136
50	218	4065
51	219	3998
52	220	3935
53	221	3874
54	222	3821
55	223	3764
56	224	3710
57	225	3658
58	226	3609
59	227	3558
60	227	3509
61	228	3462
62	229	3415
63	230	3370
64	231	3326
65	231	3282
66	232	3239
67	232	3192
68	233	3152
69	234	3113
70	235	3075
71	235	3038
72	236	3001
73	237	2968
74	237	2935
75	238	2904
76	239	2871
77	240	2840
78	240	2809
79	241	2777
80	242	2747
81	242	2719
82	243	2691
83	244	2663
84	244	2633
85	245	2607
86	245	2579
87	246	2554
88	247	2529
89	247	2505
90	248	2481
91	249	2458
92	249	2435
93	250	2413
94	251	2392
95	251	2371
96	252	2350
97	253	2329
98	253	2309
99	254	2289
100	255	2269
101	255	2247
102	255	2228
103	256	2210
104	257	2192
105	257	2174
106	258	2157
107	259	2140
108	259	2123
109	260	2106
110	261	2090
111	261	2074
112	262	2058
113	262	2042
114	263	2027
115	263	2011
116	264	1997
117	265	1983
118	265	1967
119	266	1953
120	266	1939
121	267	1925
122	267	1910
123	268	1897
124	269	1884
125	269	1872
126	270	1860
127	271	1846
128	271	1834
129	272	1822
130	272	1810
131	273	1798
132	274	1787
133	274	1776
134	275	1765
135	276	1755
136	276	1744
137	277	1732
138	278	1722
139	278	1712
140	279	1701
141	280	1692
142	280	1682
143	281	1673
144	282	1664
145	282	1654
146	283	1645
147	284	1635
148	284	1626
149	285	1617
150	286	1608
151	286	1599
152	287	1590
153	287	1582
154	288	1573
155	289	1564
156	289	1556
157	290	1548
158	291	1540
159	291	1531
160	292	1523
161	293	1515
162	293	1507
163	294	1500
164	295	1493
165	295	1485
166	296	1477
167	296	1470
168	297	1462
169	298	1455
170	298	1448
171	299	1441
172	300	1434
173	300	1427
174	301	1420
175	301	1413
176	302	1406
177	303	1400
178	303	1393
179	304	1387
180	304	1379
181	305	1372
182	306	1366
183	306	1360
184	307	1354
185	308	1348
186	308	1342
187	309	1336
188	310	1330
189	310	1324
190	311	1319
191	312	1313
192	312	1307
193	313	1302
194	314	1296
195	314	1290
196	315	1285
197	315	1279
198	316	1273
199	317	1268
200	317	1263
201	318	1257
202	319	1252
203	319	1247
204	320	1242
205	320	1236
206	321	1232
207	322	1226
208	322	1222
209	323	1217
210	324	1212
211	324	1207
212	325	1202
213	326	1197
214	326	1193
215	327	1188
216	328	1183
217	328	1179
218	329	1174
219	330	1170
220	330	1165
221	331	1160
222	331	1156
223	332	1151
224	333	1147
225	333	1142
226	334	1138
227	334	1134
228	335	1129
229	336	1125
230	336	1121
231	337	1117
232	338	1114
233	339	1110
234	340	1107
235	340	1103
236	341	1099
237	342	1095
238	342	1091
239	343	1087
240	343	1083
241	344	1079
242	345	1075
243	345	1071
244	346	1068
245	347	1064
246	347	1060
247	348	1056
248	349	1053
249	349	1049
250	350	1045
251	351	1042
252	351	1038
253	352	1035
254	353	1031
255	353	1028
256	354	1024
257	355	1021
258	355	1017
259	356	1013
260	356	1010
261	357	1006
262	358	1003
263	358	1000
264	359	996
265	359	993
266	360	990
267	361	986
268	361	983
269	362	980
270	363	976
271	363	973
272	364	970
273	365	967
274	365	964
275	366	961
276	367	958
277	367	955
278	368	952
279	369	949
280	369	946
281	370	942
282	370	939
283	371	936
284	372	933
285	372	930
286	373	927
287	374	924
288	374	921
289	375	919
290	376	916
291	376	913
292	377	910
293	377	907
294	378	904
295	379	901
296	379	899
297	380	896
298	381	893
299	381	890
300	382	888
301	383	885
302	383	882
303	384	880
304	385	877
305	385	874
306	386	872
307	386	869
308	387	866
309	388	864
310	388	861
311	389	858
312	390	856
313	390	853
314	391	851
315	392	848
316	392	846
317	393	843
318	394	841
319	394	838
320	395	836
321	396	834
322	396	831
323	397	829
324	398	826
325	398	824
326	399	822
327	400	819
328	400	817
329	401	814
330	401	812
331	402	810
332	403	807
333	403	805
334	404	802
335	405	800
336	405	798
337	406	795
338	406	793
339	407	791
340	408	788
341	408	786
342	409	784
343	410	782
344	410	780
345	411	777
346	412	775
347	412	773
348	413	771
349	414	769
350	414	766
351	415	764
352	415	762
353	416	760
354	417	758
355	417	755
356	418	753
357	419	751
358	419	749
359	420	747
360	421	745
361	421	743
362	422	741
363	422	739
364	423	737
365	424	735
366	425	733
367	425	731
368	426	729
369	426	727
370	427	725
371	428	723
372	428	721
373	429	719
374	430	717
375	430	715
376	431	713
377	432	711
378	432	709
379	433	707
380	433	705
381	434	703
382	435	701
383	435	699
384	436	697
385	437	695
386	437	693
387	438	691
388	439	689
389	439	687
390	440	686
391	441	684
392	441	682
393	442	680
394	442	678
395	443	676
396	444	674
397	444	672
398	445	671
399	446	669
400	446	667
401	447	665
402	447	663
403	448	661
404	449	660
405	449	658
406	450	656
407	451	654
408	451	652
409	452	651
410	453	649
411	453	647
412	454	646
413	455	644
414	455	642
415	456	640
416	457	639
417	457	637
418	458	635
419	459	634
420	459	632
421	460	630
422	461	628
423	461	627
424	462	625
425	462	623
426	463	622
427	464	620
428	464	618
429	465	617
430	466	615
431	466	613
432	467	612
433	468	611
434	469	609
435	470	608
436	470	606
437	471	604
438	471	603
439	472	601
440	473	599
441	473	598
442	474	596
443	475	595
444	475	593
445	476	591
446	477	590
447	477	588
448	478	587
449	479	585
450	479	584
451	480	582
452	481	580
453	481	579
454	482	577
455	483	576
456	483	574
457	484	573
458	484	571
459	485	570
460	486	568
461	486	566
462	487	565
463	488	563
464	488	562
465	489	560
466	490	559
467	490	557
468	491	556
469	492	554
470	492	553
471	493	551
472	493	550
473	494	548
474	495	547
475	495	545
476	496	544
477	497	543
478	497	541
479	498	540
480	499	538
481	499	537
482	500	535
483	501	534
484	501	532
485	502	531
486	502	529
487	503	528
488	504	526
489	504	525
490	505	524
491	506	522
492	506	521
493	507	519
494	508	518
495	508	516
496	509	515
497	509	514
498	510	512
499	511	511
500	511	509
501	512	508
502	513	507
503	513	505
504	514	504
505	515	503
506	515	501
507	516	500
508	517	498
509	517	497
510	518	496
511	519	494
512	519	493
513	520	492
514	521	490
515	521	489
516	522	487
517	522	486
518	523	485
519	524	483
520	524	482
521	525	481
522	526	479
523	526	478
524	527	477
525	528	475
526	528	474
527	529	473
528	530	471
529	530	470
530	531	469
531	532	468
532	532	466
533	533	465
534	533	464
535	534	462
536	535	461
537	535	460
538	536	458
539	537	457
540	537	456
541	538	454
542	539	453
543	539	452
544	540	451
545	540	449
546	541	448
547	542	447
548	542	445
549	543	444
550	544	443
551	544	441
552	545	440
553	545	439
554	546	438
555	547	437
556	547	435
557	548	434
558	549	433
559	549	431
560	550	430
561	551	429
562	551	428
563	552	426
564	552	425
565	553	424
566	554	423
567	554	422
568	555	420
569	556	419
570	556	418
571	557	417
572	558	415
573	558	414
574	559	413
575	560	412
576	560	411
577	561	409
578	562	408
579	562	407
580	563	406
581	563	404
582	564	403
583	565	402
584	565	401
585	566	400
586	567	399
587	567	397
588	568	396
589	569	395
590	569	394
591	570	393
592	571	391
593	571	390
594	572	389
595	572	388
596	573	387
597	574	385
598	574	384
599	575	383
600	576	382
601	576	381
602	577	380
603	578	378
604	578	377
605	579	376
606	579	375
607	580	374
608	581	373
609	581	371
610	582	370
611	583	369
612	583	368
613	584	367
614	584	366
615	585	365
616	586	363
617	586	362
618	587	361
619	588	360
620	588	359
621	589	358
622	590	357
623	590	355
624	591	354
625	591	353
626	592	352
627	593	351
628	593	350
629	594	349
630	594	347
631	595	346
632	596	345
633	596	344
634	597	343
635	598	342
636	598	341
637	599	340
638	600	338
639	600	337
640	601	336
641	601	335
642	602	334
643	603	333
644	603	332
645	604	331
646	605	330
647	605	329
648	606	327
649	607	326
650	607	325
651	608	324
652	608	323
653	609	322
654	610	321
655	610	320
656	611	319
657	612	318
658	612	317
659	613	316
660	614	315
661	614	313
662	615	312
663	616	311
664	616	310
665	617	309
666	617	308
667	618	307
668	619	306
669	619	305
670	620	304
671	621	303
672	622	302
673	622	301
674	623	300
675	624	299
676	624	298
677	625	297
