iter	Passed	Remaining
0	129	129759
1	132	66322
2	136	45247
3	138	34596
4	141	28171
5	144	23953
6	147	20881
7	149	18585
8	153	16913
9	156	15462
10	159	14329
11	162	13387
12	165	12556
13	168	11850
14	171	11250
15	174	10737
16	177	10244
17	179	9804
18	183	9469
19	186	9133
20	189	8834
21	192	8563
22	194	8275
23	198	8071
24	200	7836
25	203	7637
26	206	7457
27	209	7263
28	212	7124
29	215	6973
30	218	6829
31	221	6697
32	224	6567
33	226	6445
34	229	6328
35	231	6212
36	234	6094
37	237	6000
38	239	5907
39	243	5841
40	246	5759
41	249	5693
42	252	5621
43	255	5545
44	258	5484
45	261	5422
46	264	5353
47	267	5298
48	270	5240
49	272	5185
50	275	5128
51	278	5072
52	281	5030
53	284	4978
54	286	4929
55	289	4885
56	292	4836
57	295	4796
58	298	4754
59	300	4707
60	304	4690
61	307	4647
62	309	4606
63	312	4570
64	314	4527
65	317	4488
66	319	4455
67	322	4420
68	326	4399
69	328	4366
70	330	4327
71	333	4297
72	335	4263
73	338	4230
74	340	4197
75	343	4172
76	345	4138
77	347	4110
78	350	4090
79	353	4060
80	356	4039
81	358	4018
82	360	3979
83	363	3966
84	366	3943
85	368	3920
86	371	3903
87	374	3883
88	376	3858
89	380	3844
90	382	3823
91	385	3803
92	388	3788
93	391	3769
94	394	3754
95	396	3737
96	399	3718
97	402	3706
98	404	3684
99	407	3664
100	410	3650
101	412	3629
102	414	3610
103	417	3594
104	419	3572
105	420	3549
106	422	3529
107	425	3514
108	427	3496
109	430	3480
110	432	3466
111	437	3465
112	440	3455
113	442	3440
114	444	3422
115	447	3409
116	449	3392
117	451	3375
118	454	3363
119	456	3349
120	459	3334
121	460	3316
122	463	3305
123	466	3292
124	468	3280
125	471	3269
126	473	3252
127	475	3238
128	478	3231
129	481	3221
130	484	3210
131	487	3202
132	489	3192
133	493	3189
134	496	3178
135	498	3168
136	501	3157
137	503	3145
138	505	3131
139	508	3123
140	510	3110
141	512	3093
142	514	3083
143	517	3074
144	519	3061
145	521	3052
146	524	3044
147	526	3031
148	529	3023
149	531	3014
150	534	3002
151	536	2991
152	539	2984
153	541	2973
154	543	2962
155	547	2962
156	550	2954
157	552	2944
158	554	2934
159	557	2925
160	558	2912
161	561	2904
162	563	2894
163	565	2884
164	569	2880
165	571	2870
166	573	2859
167	575	2851
168	578	2843
169	580	2832
170	581	2821
171	584	2812
172	586	2803
173	588	2793
174	591	2787
175	593	2778
176	595	2770
177	598	2764
178	601	2757
179	603	2748
180	606	2742
181	608	2734
182	610	2725
183	612	2716
184	614	2708
185	617	2701
186	619	2694
187	622	2687
188	624	2679
189	626	2671
190	629	2664
191	631	2657
192	633	2649
193	636	2645
194	638	2637
195	641	2630
196	644	2625
197	646	2619
198	649	2613
199	652	2608
200	654	2602
201	656	2595
202	660	2591
203	662	2585
204	664	2578
205	667	2574
206	669	2566
207	672	2558
208	675	2555
209	677	2549
210	679	2542
211	682	2537
212	685	2533
213	687	2526
214	690	2521
215	693	2515
216	695	2511
217	698	2506
218	701	2500
219	704	2496
220	706	2492
221	709	2485
222	711	2480
223	714	2475
224	716	2467
225	719	2463
226	721	2457
227	723	2451
228	726	2447
229	729	2442
230	732	2436
231	735	2433
232	738	2429
233	741	2427
234	744	2423
235	747	2419
236	751	2417
237	753	2412
238	755	2405
239	758	2402
240	761	2398
241	763	2392
242	766	2389
243	769	2383
244	772	2379
245	774	2374
246	776	2367
247	779	2363
248	782	2359
249	784	2353
250	787	2348
251	789	2344
252	792	2338
253	795	2336
254	798	2332
255	800	2326
256	803	2323
257	806	2320
258	809	2315
259	812	2311
260	814	2307
261	818	2306
262	821	2303
263	824	2299
264	827	2295
265	829	2290
266	833	2287
267	835	2282
268	837	2275
269	840	2271
270	843	2267
271	845	2264
272	849	2261
273	851	2257
274	855	2254
275	857	2250
276	860	2246
277	863	2243
278	866	2238
279	868	2233
280	871	2230
281	874	2226
282	876	2221
283	880	2219
284	883	2216
285	886	2213
286	889	2209
287	891	2204
288	895	2202
289	897	2197
290	899	2192
291	902	2188
292	905	2184
293	907	2178
